<|	Element	Type	Label	Synonyms	Parent (Tree selector)	Applications	is_a	part_of	located_at	affects	can_affect	is_involved_in	quality_of	related_to
	Definition	One or more from the set: TOPIC, GEOGRAPHY, DATA_TYPE, FREQUENCY, TIME_PERIOD, SDG		Synonyms of the concept	This is the parent that will be used in the tree selectors (like those in Explore) in case there's more than one parent for the same concept and we have to choose one to show. This column DOES NOT AFFECT the structure of the graph	(Only in terms of visibility in the filters/search) This DOES NOT AFFECT the structure of the graph	instance of a type or category (No loops)	physically located within (No loops - only geography)	physically coincident. Ex. Cars are located_at roads	High likelihood may result in or make changes to (term results in changes to _____)	Some likelihood may result in or make changes to (term results in changes to _____)	conceptually part of	an attribute of a category or instance (No loops)	general relationships that don't fit well in other categories
266	frequency	FREQUENCY	Frequency		general		general							
267	daily	FREQUENCY	Daily		frequency	data4sdgs	frequency							
268	near_real_time	FREQUENCY	Near Real Time		frequency	data4sdgs	frequency							
269	weekly	FREQUENCY	Weekly		frequency	data4sdgs	frequency							
270	monthly	FREQUENCY	Monthly		frequency	data4sdgs	frequency							
271	annual	FREQUENCY	Annual		frequency	data4sdgs	frequency							
	hourly	FREQUENCY	Hourly		frequency	data4sdgs	frequency							
	not_updated	FREQUENCY	Not Updated		frequency	data4sdgs	frequency							
	subscribable	FREQUENCY	Subscribable		frequency	data4sdgs								
2	continent	GEOGRAPHY	Continent		global	data4sdgs		global						
3	antarctica	GEOGRAPHY	Antarctica		continent	data4sdgs	continent							
4	territory	GEOGRAPHY	Territory		global	data4sdgs		global						
5	global	GEOGRAPHY	Global		location		location							
6	overseas_territory	GEOGRAPHY	Overseas Territory		territory	data4sdgs		territory						
7	crown_dependency	GEOGRAPHY	Crown Dependency		uk	data4sdgs		uk						
8	unincorporated_territory	GEOGRAPHY	Unincorporated Territory		usa	data4sdgs								usa
9	autonomous_territory	GEOGRAPHY	Autonomous Territory		territory		territory							
10	country	GEOGRAPHY	Country		global	data4sdgs		global						
	admin1	GEOGRAPHY	Admin1		country	data4sdgs		country						
11	europe	GEOGRAPHY	Europe		continent	data4sdgs	continent							
12	north_america	GEOGRAPHY	North America		continent	data4sdgs	continent							
13	south_america	GEOGRAPHY	South America		continent	data4sdgs	continent							
14	oceania	GEOGRAPHY	Oceania		continent	data4sdgs	continent							
15	africa	GEOGRAPHY	Africa		continent	data4sdgs	continent							
16	asia	GEOGRAPHY	Asia		continent	data4sdgs	continent							
17	european_free_trade_association	GEOGRAPHY	European Free Trade Association		europe	data4sdgs		europe						
18	schengen_area	GEOGRAPHY	Schengen Area		europe	data4sdgs			europe					
19	eu	GEOGRAPHY	EU	European Union	europe	data4sdgs		europe						
21	oecd	GEOGRAPHY	OECD	Organisation for Economic Co-operation and Development	affiliation	data4sdgs	affiliation							economic
22	spain	GEOGRAPHY	Spain		eu	data4sdgs	country	eu, schengen_area, oecd						
23	portugal	GEOGRAPHY	Portugal		eu	data4sdgs	country	eu, schengen_area, oecd						
24	germany	GEOGRAPHY	Germany		eu	data4sdgs	country	eu, schengen_area, oecd						
25	uk	GEOGRAPHY	United Kingdom		europe	data4sdgs	island, country	eu, oecd						
26	italy	GEOGRAPHY	Italy		eu	data4sdgs	country	eu, schengen_area, oecd						
27	ireland	GEOGRAPHY	Ireland		eu	data4sdgs	country	eu, oecd						
28	malta	GEOGRAPHY	Malta		eu	data4sdgs	island, country	eu, schengen_area						
29	belgium	GEOGRAPHY	Belgium		eu	data4sdgs	country	eu, schengen_area, oecd						
30	austria	GEOGRAPHY	Austria		eu	data4sdgs	country	eu, schengen_area, oecd						
31	latvia	GEOGRAPHY	Latvia		eu	data4sdgs	country	eu, schengen_area, oecd						
32	bulgaria	GEOGRAPHY	Bulgaria		eu	data4sdgs	country	eu						
33	lithuania	GEOGRAPHY	Lithuania		eu	data4sdgs	country	eu, schengen_area						
34	luxembourg	GEOGRAPHY	Luxembourg		eu	data4sdgs	country	eu, schengen_area, oecd						
35	croatia	GEOGRAPHY	Croatia		eu	data4sdgs	country	eu						
36	cyprus	GEOGRAPHY	Cyprus		eu	data4sdgs	country	eu						
37	czech_republic	GEOGRAPHY	Czech Republic		eu	data4sdgs	country	eu, schengen_area, oecd						
38	netherlands	GEOGRAPHY	Netherlands		eu	data4sdgs	country	eu, schengen_area, oecd						
39	denmark	GEOGRAPHY	Denmark		eu	data4sdgs	country	eu, schengen_area, oecd						
40	poland	GEOGRAPHY	Poland		eu	data4sdgs	country	eu, oecd						
41	estonia	GEOGRAPHY	Estonia		eu	data4sdgs	country	eu, schengen_area, oecd						
42	finland	GEOGRAPHY	Finland		eu	data4sdgs	country	eu, schengen_area, oecd						
43	slovakia	GEOGRAPHY	Slovakia		eu	data4sdgs	country	eu, schengen_area, oecd						
44	romania	GEOGRAPHY	Romania		eu	data4sdgs	country	eu						
45	slovenia	GEOGRAPHY	Slovenia		eu	data4sdgs	country	eu, schengen_area, oecd						
46	greece	GEOGRAPHY	Greece		eu	data4sdgs	country	eu, schengen_area, oecd						
47	hungary	GEOGRAPHY	Hungary		eu	data4sdgs	country	eu, schengen_area, oecd						
48	sweden	GEOGRAPHY	Sweden		eu	data4sdgs	country	eu, schengen_area, oecd						
49	france	GEOGRAPHY	France		eu	data4sdgs	country	eu, schengen_area, oecd						
50	afghanistan	GEOGRAPHY	Afghanistan		asia	data4sdgs	country	asia						
51	aland	GEOGRAPHY	Aland		finland	data4sdgs	autonomous_territory	finland						
52	albania	GEOGRAPHY	Albania		europe	data4sdgs	country	europe						
53	algeria	GEOGRAPHY	Algeria		africa	data4sdgs	country	africa						
54	american_samoa	GEOGRAPHY	American Samoa		oceania	data4sdgs	island, unincorporated_territory	oceania						
55	andorra	GEOGRAPHY	Andorra		europe	data4sdgs	country	europe						
56	angola	GEOGRAPHY	Angola		africa	data4sdgs	country	africa						
57	anguilla	GEOGRAPHY	Anguilla		north_america	data4sdgs	island	north_america						
58	antigua_and_barbuda	GEOGRAPHY	Antigua and Barbuda		north_america	data4sdgs	island	north_america						
59	argentina	GEOGRAPHY	Argentina		south_america	data4sdgs	country	south_america						
60	armenia	GEOGRAPHY	Armenia		asia	data4sdgs	country	asia						
61	aruba	GEOGRAPHY	Aruba		south_america	data4sdgs	island, country	south_america						
62	australia	GEOGRAPHY	Australia		oceania	data4sdgs	island, country	oceania, oecd						
63	azerbaijan	GEOGRAPHY	Azerbaijan		asia	data4sdgs	country	europe, asia						
64	bahamas	GEOGRAPHY	Bahamas		north_america	data4sdgs	island, country	north_america						
65	bahrain	GEOGRAPHY	Bahrain		asia	data4sdgs	island, country	asia						
66	bangladesh	GEOGRAPHY	Bangladesh		asia	data4sdgs	country	asia						
67	barbados	GEOGRAPHY	Barbados		north_america	data4sdgs	island, country	north_america						
68	belarus	GEOGRAPHY	Belarus		europe	data4sdgs	country	europe						
69	belize	GEOGRAPHY	Belize		north_america	data4sdgs	country	north_america						
70	benin	GEOGRAPHY	Benin		africa	data4sdgs	country	africa						
71	bermuda	GEOGRAPHY	Bermuda		uk	data4sdgs	island, overseas_territory	uk, north_america						
72	bhutan	GEOGRAPHY	Bhutan		asia	data4sdgs	country	asia						
73	bolivia	GEOGRAPHY	Bolivia		south_america	data4sdgs	country	south_america						
74	bosnia_and_herzegovina	GEOGRAPHY	Bosnia and Herzegovina		europe	data4sdgs	country	europe						
75	botswana	GEOGRAPHY	Botswana		africa	data4sdgs	country	africa						
76	brazil	GEOGRAPHY	Brazil		south_america	data4sdgs	country	south_america						
77	british_indian_ocean_territory	GEOGRAPHY	British Indian Ocean Territory		uk	data4sdgs	island, overseas_territory	uk, asia						
78	brunei	GEOGRAPHY	Brunei		asia	data4sdgs	country	asia						
79	burkina_faso	GEOGRAPHY	Burkina Faso		africa	data4sdgs	country	africa						
80	burundi	GEOGRAPHY	Burundi		africa	data4sdgs	country	africa						
81	cambodia	GEOGRAPHY	Cambodia		asia	data4sdgs	country	asia						
82	cameroon	GEOGRAPHY	Cameroon		africa	data4sdgs	country	africa						
83	canada	GEOGRAPHY	Canada		north_america	data4sdgs	country	north_america, oecd						
84	cape_verde	GEOGRAPHY	Cape_Verde		africa	data4sdgs	country	africa						
85	cayman_islands	GEOGRAPHY	Cayman Islands		uk	data4sdgs	island, overseas_territory	north_america, uk						
86	central_african_republic	GEOGRAPHY	Central African Republic		africa	data4sdgs	country	africa						
87	chad	GEOGRAPHY	Chad		africa	data4sdgs	country	africa						
88	chile	GEOGRAPHY	Chile		south_america	data4sdgs	country	south_america, oecd						
89	china	GEOGRAPHY	China		asia	data4sdgs	country	asia						
90	colombia	GEOGRAPHY	Colombia		south_america	data4sdgs	country	south_america						
91	comoros	GEOGRAPHY	Comoros		africa	data4sdgs	island, country	africa						
92	congo	GEOGRAPHY	Congo		africa	data4sdgs	country	africa						
93	democratic_republic_of_congo	GEOGRAPHY	Democratic Republic of the Congo		africa	data4sdgs	country	africa						
94	cook_islands	GEOGRAPHY	Cook islands		oceania	data4sdgs	island	oceania						
95	costa_rica	GEOGRAPHY	Costa Rica		north_america	data4sdgs	country	north_america						
96	ivory_coast	GEOGRAPHY	Ivory Coast		africa	data4sdgs	country	africa						
97	cuba	GEOGRAPHY	Cuba		north_america	data4sdgs	island	north_america						
98	curacao	GEOGRAPHY	Curaçao		netherlands	data4sdgs	island, autonomous_territory	south_america, netherlands						
99	djibouti	GEOGRAPHY	Djibouti		africa	data4sdgs	country	africa						
100	dominica	GEOGRAPHY	Dominica		north_america	data4sdgs	island, country	north_america						
101	dominican_republic	GEOGRAPHY	Dominican Republic		north_america	data4sdgs	island, country	north_america						
102	ecuador	GEOGRAPHY	Ecuador		south_america	data4sdgs	country	south_america						
103	egypt	GEOGRAPHY	Egypt		africa	data4sdgs	country	africa						
104	el_salvador	GEOGRAPHY	El Salvador		north_america	data4sdgs	country	north_america						
105	equatorial_guinea	GEOGRAPHY	Equatorial Guinea		africa	data4sdgs	country	africa						
106	eritrea	GEOGRAPHY	Eritrea		africa	data4sdgs	country	africa						
107	ethiopia	GEOGRAPHY	Ethiopia		africa	data4sdgs	country	africa						
108	falkland_islands	GEOGRAPHY	Falkland Islands		uk	data4sdgs	island, overseas_territory	south_america, uk						
109	faroe_islands	GEOGRAPHY	Faroe Islands		denmark	data4sdgs	island, autonomous_territory	europe, denmark						
110	fiji	GEOGRAPHY	Fiji		oceania	data4sdgs	island, country	oceania						
111	french_polynesia	GEOGRAPHY	French Polynesia		france	data4sdgs	island, overseas_territory	oceania, france						
112	french_southern_and_antarctic_lands	GEOGRAPHY	French Southern and Antarctic Lands		france	data4sdgs	island, overseas_territory	africa, france, antarctica						
113	gabon	GEOGRAPHY	Gabon		africa	data4sdgs	country	africa						
114	gambia	GEOGRAPHY	Gambia		africa	data4sdgs	country	africa						
115	georgia	GEOGRAPHY	Georgia		europe	data4sdgs	country	europe, asia						
116	ghana	GEOGRAPHY	Ghana		africa	data4sdgs	country	africa						
117	gibraltar	GEOGRAPHY	Gibraltar		uk	data4sdgs	overseas_territory	europe, uk						
118	greenland	GEOGRAPHY	Greenland		denmark	data4sdgs	island, autonomous_territory	north_america, denmark						
119	grenada	GEOGRAPHY	Grenada		north_america	data4sdgs	island, country	north_america						
120	guam	GEOGRAPHY	Guam		oceania	data4sdgs	island, country	oceania						
121	guatemala	GEOGRAPHY	Guatemala		north_america	data4sdgs	country	north_america						
122	guernsey	GEOGRAPHY	Guernsey		crown_dependency	data4sdgs	crown_dependency	europe						
123	guinea	GEOGRAPHY	Guinea		africa	data4sdgs	country	africa						
124	guinea_bissau	GEOGRAPHY	Guinea-Bissau		africa	data4sdgs	country	africa						
125	guyana	GEOGRAPHY	Guyana		south_america	data4sdgs	country	south_america						
126	haiti	GEOGRAPHY	Haiti		north_america	data4sdgs	island, country	north_america						
127	heard_island_and_mcdoland_islands	GEOGRAPHY	Heard Island and McDonald Islands		australia	data4sdgs	island, overseas_territory	australia, antarctica						
128	vatican	GEOGRAPHY	Vatican		europe	data4sdgs	country	europe						
129	honduras	GEOGRAPHY	Honduras		north_america	data4sdgs	country	north_america						
130	hong_kong	GEOGRAPHY	Hong Kong		asia	data4sdgs	country	asia						
131	iceland	GEOGRAPHY	Iceland		europe	data4sdgs	country, island	europe, european_free_trade_association, oecd						
132	india	GEOGRAPHY	India		asia	data4sdgs	country	asia						
	sikkim	GEOGRAPHY	Sikkim		india	data4sdgs	admin1	india						
	rajasthan	GEOGRAPHY	Rajasthan		india	data4sdgs	admin1	india						
	punjab	GEOGRAPHY	Punjab		india	data4sdgs	admin1	india						
	puducherry	GEOGRAPHY	Puducherry		india	data4sdgs	admin1	india						
	odisha	GEOGRAPHY	Odisha		india	data4sdgs	admin1	india						
	nagaland	GEOGRAPHY	Nagaland		india	data4sdgs	admin1	india						
	mizoram	GEOGRAPHY	Mizoram		india	data4sdgs	admin1	india						
	meghalaya	GEOGRAPHY	Meghalaya		india	data4sdgs	admin1	india						
	manipur	GEOGRAPHY	Manipur		india	data4sdgs	admin1	india						
	maharashtra	GEOGRAPHY	Maharashtra		india	data4sdgs	admin1	india						
	madhya_pradesh	GEOGRAPHY	Madhya Pradesh		india	data4sdgs	admin1	india						
	lakshadweep	GEOGRAPHY	Lakshadweep		india	data4sdgs	admin1	india						
	kerala	GEOGRAPHY	Kerala		india	data4sdgs	admin1	india						
	karnataka	GEOGRAPHY	Karnataka		india	data4sdgs	admin1	india						
	west_bengal	GEOGRAPHY	West Bengal		india	data4sdgs	admin1	india						
	uttar_pradesh	GEOGRAPHY	Uttar Pradesh		india	data4sdgs	admin1	india						
	tripura	GEOGRAPHY	Tripura		india	data4sdgs	admin1	india						
	telangana	GEOGRAPHY	Telangana		india	data4sdgs	admin1	india						
	tamil_nadu	GEOGRAPHY	Tamil Nadu		india	data4sdgs	admin1	india						
	jammu_and_kashmir	GEOGRAPHY	Jammu and Kashmir		india	data4sdgs	admin1	india						
	himachal_pradesh	GEOGRAPHY	Himachal Pradesh		india	data4sdgs	admin1	india						
	haryana	GEOGRAPHY	Haryana		india	data4sdgs	admin1	india						
	gujarat	GEOGRAPHY	Gujarat		india	data4sdgs	admin1	india						
	daman_and_diu	GEOGRAPHY	Daman and Diu		india	data4sdgs	admin1	india						
	goa	GEOGRAPHY	Goa		india	data4sdgs	admin1	india						
	delhi	GEOGRAPHY	Delhi		india	data4sdgs	admin1	india						
	dadra_and_nagar_haveli	GEOGRAPHY	Dadra and Nagar Haveli		india	data4sdgs	admin1	india						
	chandigarh	GEOGRAPHY	Chandigarh		india	data4sdgs	admin1	india						
	bihar	GEOGRAPHY	Bihar		india	data4sdgs	admin1	india						
	assam	GEOGRAPHY	Assam		india	data4sdgs	admin1	india						
	arunachal_pradesh	GEOGRAPHY	Arunachal Pradesh		india	data4sdgs	admin1	india						
	andhra_pradesh	GEOGRAPHY	Andhra Pradesh		india	data4sdgs	admin1	india						
	andaman_and_nicobar_islands	GEOGRAPHY	Andaman and Nicobar Islands		india	data4sdgs	admin1	india						
	chhattisgarh	GEOGRAPHY	Chhattisgarh		india	data4sdgs	admin1	india						
	jharkhand	GEOGRAPHY	Jharkhand		india	data4sdgs	admin1	india						
	uttarakhand	GEOGRAPHY	Uttarakhand		india	data4sdgs	admin1	india						
133	indonesia	GEOGRAPHY	Indonesia		asia	data4sdgs	country	asia						
134	iran	GEOGRAPHY	Iran		asia	data4sdgs	country	asia						
135	iraq	GEOGRAPHY	Iraq		asia	data4sdgs	country	asia						
136	isle_of_man	GEOGRAPHY	Isle of Man		crown_dependency	data4sdgs	island, crown_dependency	europe						
137	israel	GEOGRAPHY	Israel		asia	data4sdgs	country	asia, oecd						
138	jamaica	GEOGRAPHY	Jamaica		north_america	data4sdgs	island, country	north_america						
139	japan	GEOGRAPHY	Japan		asia	data4sdgs	island, country	asia, oecd						
140	jersey	GEOGRAPHY	Jersey		crown_dependency	data4sdgs	island, crown_dependency	europe						
141	jordan	GEOGRAPHY	Jordan		asia	data4sdgs	country	asia						
142	kazakhstan	GEOGRAPHY	Kazakhstan		asia	data4sdgs	country	asia						
143	kenya	GEOGRAPHY	Kenya		africa	data4sdgs	country	africa						
144	kiribati	GEOGRAPHY	Kiribati		oceania	data4sdgs	island, country	oceania						
145	democratic_republic_of_korea	GEOGRAPHY	Democratic Republic of Korea		asia	data4sdgs	country	asia						
146	south_korea	GEOGRAPHY	South Korea		asia	data4sdgs	country	asia, oecd						
147	kuwait	GEOGRAPHY	Kuwait		asia	data4sdgs	country	asia						
148	kyrgyzstan	GEOGRAPHY	Kyrgyzstan		asia	data4sdgs	country	asia						
149	laos	GEOGRAPHY	Lao People's Democratic Republic		asia	data4sdgs	country	asia						
150	lebanon	GEOGRAPHY	Lebanon		asia	data4sdgs	country	asia						
151	lesotho	GEOGRAPHY	Lesotho		africa	data4sdgs	country	africa						
152	liberia	GEOGRAPHY	Liberia		africa	data4sdgs	country	africa						
153	libya	GEOGRAPHY	Libya		africa	data4sdgs	country	africa						
154	liechtenstein	GEOGRAPHY	Liechtenstein		europe	data4sdgs	country	europe, european_free_trade_association						
155	macao	GEOGRAPHY	Macao		china	data4sdgs	autonomous_territory	china, asia						
156	macedonia	GEOGRAPHY	Macedonia		europe	data4sdgs	country	europe						
157	madagascar	GEOGRAPHY	Madagascar		africa	data4sdgs	country, island	africa						
158	malawi	GEOGRAPHY	Malawi		africa	data4sdgs	country	africa						
159	malaysia	GEOGRAPHY	Malaysia		asia	data4sdgs	country	asia						
160	maldives	GEOGRAPHY	Maldives		asia	data4sdgs	country, island	asia						
161	mali	GEOGRAPHY	Mali		africa	data4sdgs	country	africa						
162	marshall_islands	GEOGRAPHY	Marshall Islands		oceania	data4sdgs	island	oceania						
163	mauritania	GEOGRAPHY	Mauritania		africa	data4sdgs	country	africa						
164	mauritius	GEOGRAPHY	Mauritius		africa	data4sdgs	country, island	africa						
165	mexico	GEOGRAPHY	Mexico		north_america	data4sdgs	country	north_america, oecd						
166	micronesia	GEOGRAPHY	Micronesia		oceania	data4sdgs	country, island	oceania						
167	moldova	GEOGRAPHY	Moldova		europe	data4sdgs	country	europe						
168	monaco	GEOGRAPHY	Monaco		europe	data4sdgs	country	europe						
169	mongolia	GEOGRAPHY	Mongolia		asia	data4sdgs	country	asia						
170	montenegro	GEOGRAPHY	Montenegro		europe	data4sdgs	country	europe						
171	montserrat	GEOGRAPHY	Montserrat		uk	data4sdgs	overseas_territory, island	north_america, uk						
172	morocco	GEOGRAPHY	Morocco		africa	data4sdgs	country	africa						
173	mozambique	GEOGRAPHY	Mozambique		africa	data4sdgs	country	africa						
174	myanmar	GEOGRAPHY	Myanmar		asia	data4sdgs	country	asia						
175	namibia	GEOGRAPHY	Namibia		africa	data4sdgs	country	africa						
176	nauru	GEOGRAPHY	Nauru		oceania	data4sdgs	country, island	oceania						
177	nepal	GEOGRAPHY	Nepal		asia	data4sdgs	country	asia						
178	new_caledonia	GEOGRAPHY	New Caledonia		france	data4sdgs	overseas_territory, island	france, oceania						
179	new_zealand	GEOGRAPHY	New Zealand		oceania	data4sdgs	island, country	oceania, oecd						
180	nicaragua	GEOGRAPHY	Nicaragua		north_america	data4sdgs	country	north_america						
181	niger	GEOGRAPHY	Niger		africa	data4sdgs	country	africa						
182	nigeria	GEOGRAPHY	Nigeria		africa	data4sdgs	country	africa						
183	niue	GEOGRAPHY	Niue		oceania	data4sdgs	country, island	oceania						
184	norfolk_island	GEOGRAPHY	Norfolk Island		australia	data4sdgs	overseas_territory, island	oceania, australia						
185	northern_mariana_islands	GEOGRAPHY	Northern Mariana Islands		usa	data4sdgs	island, overseas_territory	oceania, usa						
186	norway	GEOGRAPHY	Norway		europe	data4sdgs	country	europe, shengen_area, european_free_trade_association, oecd						
187	oman	GEOGRAPHY	Oman		asia	data4sdgs	country	asia						
188	pakistan	GEOGRAPHY	Pakistan		asia	data4sdgs	country	asia						
189	palau	GEOGRAPHY	Palau		oceania	data4sdgs	country, island	oceania						
190	palestine	GEOGRAPHY	Palestine		asia	data4sdgs	territory	asia						
191	panama	GEOGRAPHY	Panama		north_america	data4sdgs	country	north_america						
192	papua_new_guinea	GEOGRAPHY	Papua New Guinea		oceania	data4sdgs	country, island	oceania						
193	paraguay	GEOGRAPHY	Paraguay		south_america	data4sdgs	country	south_america						
194	peru	GEOGRAPHY	Peru		south_america	data4sdgs	country	south_america						
195	philippines	GEOGRAPHY	Philippines		asia	data4sdgs	island, country	asia						
